instance,solver,time_limit,runtime,obj
PCMAX_U_2_0500_10_0,LPT,60.0,0.01,24923
PCMAX_U_2_0500_10_0,SPS,60.0,0.04,24923
PCMAX_U_2_0500_10_0,CPLEX,60.0,6.03,24922
PCMAX_U_2_0500_10_0,TS,60.0,71.66,24923
PCMAX_U_2_0500_10_1,LPT,60.0,0.00,24651
PCMAX_U_2_0500_10_1,SPS,60.0,0.02,24651
PCMAX_U_2_0500_10_1,CPLEX,60.0,10.39,24641
PCMAX_U_2_0500_10_1,TS,60.0,320.11,24642
PCMAX_U_2_0500_10_2,LPT,60.0,0.00,24262
PCMAX_U_2_0500_10_2,SPS,60.0,0.02,24262
PCMAX_U_2_0500_10_2,CPLEX,60.0,11.10,24256
PCMAX_U_2_0500_10_2,TS,60.0,201.06,24257
PCMAX_U_2_0500_10_3,LPT,60.0,0.00,24226
PCMAX_U_2_0500_10_3,SPS,60.0,0.02,24226
PCMAX_U_2_0500_10_3,CPLEX,60.0,15.21,24218
PCMAX_U_2_0500_10_3,TS,60.0,184.16,24220
PCMAX_U_2_0500_10_4,LPT,60.0,0.00,25315
PCMAX_U_2_0500_10_4,SPS,60.0,0.02,25315
PCMAX_U_2_0500_10_4,CPLEX,60.0,6.70,25309
PCMAX_U_2_0500_10_4,TS,60.0,98.41,25311
PCMAX_U_2_0500_10_5,LPT,60.0,0.00,25092
PCMAX_U_2_0500_10_5,SPS,60.0,0.02,25092
PCMAX_U_2_0500_10_5,CPLEX,60.0,5.57,25087
PCMAX_U_2_0500_10_5,TS,60.0,87.46,25088
PCMAX_U_2_0500_10_6,LPT,60.0,0.00,24210
PCMAX_U_2_0500_10_6,SPS,60.0,0.02,24210
PCMAX_U_2_0500_10_6,CPLEX,60.0,7.36,24207
PCMAX_U_2_0500_10_6,TS,60.0,71.74,24208
PCMAX_U_2_0500_10_7,LPT,60.0,0.00,25999
PCMAX_U_2_0500_10_7,SPS,60.0,0.02,25999
PCMAX_U_2_0500_10_7,CPLEX,60.0,8.51,25993
PCMAX_U_2_0500_10_7,TS,60.0,184.41,25995
PCMAX_U_2_0500_10_8,LPT,60.0,0.00,25882
PCMAX_U_2_0500_10_8,SPS,60.0,0.02,25882
PCMAX_U_2_0500_10_8,CPLEX,60.0,15.33,25877
PCMAX_U_2_0500_10_8,TS,60.0,153.89,25879
PCMAX_U_2_0500_10_9,LPT,60.0,0.00,24881
PCMAX_U_2_0500_10_9,SPS,60.0,0.02,24881
PCMAX_U_2_0500_10_9,CPLEX,60.0,7.30,24876
PCMAX_U_2_0500_10_9,TS,60.0,223.97,24878
